YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2021,2021,MD,Maryland,BRFSS,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-76.60926011099963 39.29058096400047),24,SDOH,SDH09,,CRDPREV,RACE,HAPI,,,,
2022,2022,NH,New Hampshire,BRFSS,Mental Health,Frequent mental distress among adults,,%,Crude Prevalence,16.2,16.2,,,14.8,17.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),33,MEN,MEN05,,CRDPREV,RACE,WHT,,,,
2020,2020,NC,North Carolina,BRFSS,Health Status,Frequent physical distress among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),37,HEA,HEA03,,CRDPREV,RACE,ASN,,,,
2022,2022,HI,Hawaii,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,24.9,24.9,,,23.1,26.8,Sex,Female,,,,,POINT (-157.85774940299973 21.304850435000446),15,DIS,DIS01,,CRDPREV,SEX,SEXF,,,,
2019,2019,MN,Minnesota,BRFSS,Mental Health,Average mentally unhealthy days among adults,,Number,Age-adjusted Mean,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-94.79420050299967 46.35564873600049),27,MEN,MEN04,,AGEADJMEAN,RACE,MRC,,,,
2020,2020,NV,Nevada,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,13.5,13.5,,,9.7,18.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-117.07184056399967 39.493240390000494),32,ALC,ALC09,,CRDRATE,RACE,BLK,,,,
2020,2020,FL,Florida,BRFSS,Health Status,Recent activity limitation among adults,,Number,Age-adjusted Mean,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-81.92896053899966 28.932040377000476),12,HEA,HEA04,,AGEADJMEAN,RACE,HAPI,,,,
2019,2019,SC,South Carolina,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,,%,Crude Prevalence,15.3,15.3,,,13.2,17.7,Age,Age 18-44,,,,,POINT (-81.04537120699968 33.998821303000454),45,CVD,CVD04,,CRDPREV,AGE,AGE1844,,,,
2020,2020,LA,Louisiana,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",,Number,Number,63.0,63.0,,,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-92.44568007099969 31.31266064400046),22,CVD,CVD09,,NMBR,RACE,ASN,,,,
2021,2021,HI,Hawaii,BRFSS,Arthritis,Activity limitation due to arthritis among adults with arthritis,,%,Age-adjusted Prevalence,3.7,3.7,,,3.0,4.7,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),15,ART,ART02,,AGEADJPREV,RACE,ASN,,,,
2021,2021,DE,Delaware,BRFSS,Arthritis,Arthritis among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-75.57774116799965 39.008830667000495),10,ART,ART01,,CRDPREV,RACE,ASN,,,,
2019,2019,HI,Hawaii,PRAMS,Mental Health,Postpartum depressive symptoms among women with a recent live birth,,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),15,MEN,MEN03,,CRDPREV,RACE,HAPI,,,,
2022,2022,SD,South Dakota,BRFSS,Social Determinants of Health,Lack of reliable transportation in the past 12 months among adults,,%,Crude Prevalence,,,#,No data available for this indicator because the module was not used by the state or territory,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),46,SDOH,SDH06,,CRDPREV,RACE,ASN,,,,
