nim,angkatan,fakultas,program_studi,jenis_kelamin,asal_provinsi,jalur_masuk,ukt_kelompok,beasiswa,tahun_ajaran,semester,mata_kuliah,sks,nilai_huruf,bobot_nilai,kehadiran_persen,nilai_tugas,nilai_uts,nilai_uas
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Ganjil,Bahasa Inggris,3,C,2.0,75,46.1,51.8,60.9
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Ganjil,Rangkaian Elektrik,3,AB,3.5,87,80.1,60.7,56.5
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Ganjil,Metodologi Penelitian,2,B,3.0,89,64.8,62.0,85.8
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Ganjil,Kimia Dasar IA,2,AB,3.5,96,71.1,64.6,83.1
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Ganjil,Kalkulus I,3,B,3.0,75,60.1,46.9,92.4
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Genap,Metodologi Penelitian,4,BC,2.5,94,65.7,74.0,63.3
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Genap,Pengantar Rekayasa,3,B,3.0,71,56.3,50.1,72.3
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Genap,Fisika Dasar IIA,2,A,4.0,95,81.8,74.4,93.4
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Genap,Fisika Dasar IA,3,BC,2.5,91,63.1,58.7,56.0
24180001,2024,FTEK,Teknik Tenaga Listrik,Laki-laki,Riau,SNBP,5,Tidak,2021/2022,Genap,Sinyal dan Sistem,3,B,3.0,82,81.7,70.4,80.7
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Ganjil,Manajemen Proyek,3,B,3.0,78,73.9,50.4,75.2
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Ganjil,Bahasa Inggris,3,C,2.0,51,40.3,52.2,59.1
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Ganjil,Kalkulus II,3,BC,2.5,87,58.5,53.6,88.9
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Ganjil,Kerja Praktik,3,C,2.0,62,53.0,45.0,35.7
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Ganjil,Tugas Akhir II,2,BC,2.5,73,46.2,49.1,56.8
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Ganjil,Fisika Dasar IA,2,D,1.0,84,40.4,26.5,18.9
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Genap,Kalkulus II,4,C,2.0,64,64.4,26.0,52.2
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Genap,Olahraga,3,BC,2.5,75,53.5,60.2,63.0
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Genap,Tugas Akhir II,2,C,2.0,55,40.1,55.6,57.6
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2021/2022,Genap,Tugas Akhir I,2,C,2.0,59,58.5,48.5,45.0
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Ganjil,Bahasa Inggris,3,BC,2.5,73,62.0,58.7,64.0
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Ganjil,Fisika Dasar IA,3,D,1.0,84,56.9,39.9,42.8
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Ganjil,Tugas Akhir I,2,D,1.0,77,43.1,49.0,53.8
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Ganjil,Pengantar Rekayasa,3,B,3.0,87,77.6,72.4,68.1
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Genap,Tugas Akhir II,3,C,2.0,84,59.0,59.1,38.3
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Genap,Pengantar Rekayasa,2,B,3.0,79,70.2,50.9,71.5
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Genap,Kalkulus I,4,D,1.0,58,21.9,39.1,44.4
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Genap,Fisika Dasar IIA,4,BC,2.5,91,79.6,58.3,58.4
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Genap,Tugas Akhir II,2,BC,2.5,95,58.6,68.7,66.4
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Genap,Metodologi Penelitian,3,BC,2.5,88,56.0,42.7,54.9
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2022/2023,Genap,Metodologi Penelitian,4,BC,2.5,85,57.1,61.0,57.9
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Ganjil,Etika Profesi,4,BC,2.5,82,54.3,61.3,54.4
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Ganjil,Metodologi Penelitian,3,D,1.0,68,41.1,57.1,24.9
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Ganjil,Manajemen Proyek,4,BC,2.5,82,65.4,79.6,53.1
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Ganjil,Agama,3,BC,2.5,94,48.2,66.6,47.1
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Ganjil,Metodologi Penelitian,3,C,2.0,77,39.3,61.0,68.0
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Ganjil,Manajemen Proyek,3,B,3.0,76,53.4,69.2,46.2
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Ganjil,Tugas Akhir I,3,BC,2.5,75,60.0,59.2,64.8
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Genap,Kerja Praktik,2,BC,2.5,75,42.0,60.8,58.9
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Genap,Kimia Dasar IA,2,C,2.0,54,36.2,62.8,63.6
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Genap,Kerja Praktik,2,BC,2.5,75,59.5,36.7,74.0
22150002,2022,FTSL,Teknik Lingkungan,Laki-laki,Jawa Barat,SNBT,5,Tidak,2023/2024,Genap,Bahasa Inggris,3,BC,2.5,87,58.5,70.1,71.7
23150003,2023,FTSL,Teknik Sipil,Perempuan,Lampung,Mandiri,5,Tidak,2021/2022,Ganjil,Fisika Dasar IA,2,BC,2.5,94,59.5,63.5,48.8
23150003,2023,FTSL,Teknik Sipil,Perempuan,Lampung,Mandiri,5,Tidak,2021/2022,Ganjil,Manajemen Proyek,3,B,3.0,89,61.7,79.0,75.4
23150003,2023,FTSL,Teknik Sipil,Perempuan,Lampung,Mandiri,5,Tidak,2021/2022,Ganjil,Kerja Praktik,3,BC,2.5,89,58.5,47.1,75.9
23150003,2023,FTSL,Teknik Sipil,Perempuan,Lampung,Mandiri,5,Tidak,2021/2022,Ganjil,Etika Profesi,3,A,4.0,88,86.6,92.0,82.8
23150003,2023,FTSL,Teknik Sipil,Perempuan,Lampung,Mandiri,5,Tidak,2021/2022,Genap,Metodologi Penelitian,2,B,3.0,83,82.2,68.6,73.2
23150003,2023,FTSL,Teknik Sipil,Perempuan,Lampung,Mandiri,5,Tidak,2021/2022,Genap,Pancasila,3,A,4.0,85,85.3,68.0,53.9
23150003,2023,FTSL,Teknik Sipil,Perempuan,Lampung,Mandiri,5,Tidak,2021/2022,Genap,Fisika Dasar IIA,3,BC,2.5,93,46.2,50.3,52.5
