Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
493812,84993B,75 BLACK PETIT FOUR CASES,24,2010-01-07 11:52:00,0.42,13081.0,United Kingdom
491497,21175,GIN + TONIC DIET METAL SIGN,48,2009-12-11 12:17:00,1.85,17409.0,United Kingdom
495289,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,2010-01-22 12:37:00,0.65,17519.0,United Kingdom
525065,21156,RETROSPOT CHILDRENS APRON,1,2010-10-03 14:28:00,1.95,16799.0,United Kingdom
533074,21814,HEART T-LIGHT HOLDER ,12,2010-11-16 07:52:00,1.25,14298.0,United Kingdom
491633,84987,SET OF 36 TEATIME PAPER DOILIES,2,2009-12-11 15:37:00,1.45,17958.0,United Kingdom
499942,21304,ARCHED GREY MIRROR,6,2010-03-03 12:31:00,4.95,13873.0,United Kingdom
527053,22588,CARD HOLDER GINGHAM HEART,3,2010-10-14 13:05:00,2.55,14343.0,United Kingdom
489875,21622,VINTAGE UNION JACK CUSHION COVER,3,2009-12-02 15:41:00,4.95,17841.0,United Kingdom
524524,22118,JOY WOODEN BLOCK LETTERS,2,2010-09-29 13:14:00,4.95,14514.0,United Kingdom
518665,84950,ASSORTED COLOUR T-LIGHT HOLDER,24,2010-08-10 14:43:00,0.85,14478.0,United Kingdom
520196,21481,FAWN BLUE HOT WATER BOTTLE,4,2010-08-24 14:59:00,2.95,16161.0,United Kingdom
507420,21645,ASSORTED TUTTI FRUTTI ROUND BOX,1,2010-05-09 15:06:00,1.65,12748.0,United Kingdom
531352,22383,LUNCH BAG SUKI  DESIGN ,5,2010-11-07 13:45:00,1.65,13137.0,United Kingdom
532802,84692,BOX OF 24 COCKTAIL PARASOLS,3,2010-11-14 14:56:00,0.42,17255.0,United Kingdom
521888,21937,STRAWBERRY   PICNIC BAG,50,2010-09-09 11:43:00,2.55,12770.0,Japan
502848,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-03-28 14:04:00,7.95,15570.0,United Kingdom
533038,22283,6 EGG HOUSE PAINTED WOOD,2,2010-11-15 16:13:00,7.95,14065.0,United Kingdom
512280,47503E,ASS FLORAL PRINT SCISSORS,12,2010-06-14 14:03:00,1.25,14911.0,EIRE
493375,21691,SILVER VANILLA FLOWER CANDLE POT,2,2009-12-23 12:07:00,3.75,15514.0,United Kingdom
535366,21191,LARGE WHITE HONEYCOMB PAPER BELL  ,6,2010-11-25 17:42:00,2.1,14264.0,United Kingdom
530014,20676,RED RETROSPOT BOWL,4,2010-11-01 10:37:00,1.25,17238.0,United Kingdom
521403,21179,NO JUNK MAIL METAL SIGN,12,2010-09-06 10:19:00,1.25,12744.0,Singapore
508653,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,4,2010-05-17 15:54:00,3.75,17228.0,United Kingdom
514630,82581,TOILET METAL SIGN,6,2010-07-05 12:34:00,0.55,16458.0,United Kingdom
534656,22576,SWALLOW WOODEN CHRISTMAS DECORATION,4,2010-11-23 13:36:00,0.85,13869.0,United Kingdom
498705,21843,RETRO SPOT CAKE STAND,4,2010-02-22 12:44:00,10.95,14680.0,United Kingdom
506718,22607,WOODEN ROUNDERS GARDEN SET ,2,2010-05-04 09:01:00,8.5,17091.0,United Kingdom
498104,22348,TEA BAG PLATE RED SPOTTY ,4,2010-02-16 13:49:00,0.85,13503.0,United Kingdom
496338,85047,WHITE BEADED GARLAND STRING 20LIGHT,6,2010-01-31 15:34:00,6.35,17230.0,United Kingdom
490382,20819,SILVER TEDDY BEAR,4,2009-12-05 13:32:00,3.75,12359.0,Cyprus
527819,22147,FELTCRAFT BUTTERFLY HEARTS,1,2010-10-19 11:22:00,1.45,16515.0,United Kingdom
500125,21586,KINGS CHOICE GIANT TUBE MATCHES,12,2010-03-04 14:36:00,2.55,14426.0,United Kingdom
510781,21796,SET OF 3 RED STRIPE BASKETS,1,2010-06-03 15:17:00,12.75,16892.0,United Kingdom
495029,22293,"SPRING DEC , HANGING CHICK  GREEN",3,2010-01-20 14:03:00,1.45,16085.0,United Kingdom
489998,21693,SMALL HAMMERED SILVER CANDLEPOT ,6,2009-12-03 11:19:00,2.95,15658.0,United Kingdom
506572,85061W,WHITE JEWELLED HEART DECORATION,4,2010-04-30 13:10:00,0.85,16374.0,United Kingdom
537773,20764,ABSTRACT CIRCLES SKETCHBOOK ,1,2010-12-08 12:36:00,3.75,16016.0,United Kingdom
537050,22551,PLASTERS IN TIN SPACEBOY,2,2010-12-05 11:10:00,1.65,14800.0,United Kingdom
512426,22469,HEART OF WICKER SMALL,4,2010-06-15 15:00:00,1.65,13168.0,United Kingdom
522248,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,2010-09-13 12:19:00,1.25,13593.0,United Kingdom
532764,22576,SWALLOW WOODEN CHRISTMAS DECORATION,1,2010-11-14 14:07:00,0.85,14684.0,United Kingdom
490008,22151,PLACE SETTING WHITE HEART,2,2009-12-03 12:10:00,0.42,15768.0,United Kingdom
501133,22236,CAKE STAND 3 TIER MAGIC GARDEN,2,2010-03-14 10:10:00,12.75,17920.0,United Kingdom
499659,21869,POTTING SHED COFFEE MUG,3,2010-03-01 15:05:00,1.25,16731.0,United Kingdom
522086,22582,PACK OF 6 SWEETIE GIFT BOXES,6,2010-09-12 12:00:00,2.55,16042.0,United Kingdom
491816,20862,PINK PATCH PENCIL CASE BLUE HEART,6,2009-12-14 13:36:00,2.1,14961.0,United Kingdom
525694,22711,WRAP CIRCUS PARADE,25,2010-10-06 12:30:00,0.42,17429.0,United Kingdom
509071,84839,SWEETHEART KEY CABINET,2,2010-05-20 11:41:00,6.75,16471.0,United Kingdom
520561,22625,RED KITCHEN SCALES,2,2010-08-26 16:46:00,8.5,14769.0,United Kingdom
506091,21651,HANGING GLASS ETCHED TEALIGHT,6,2010-04-27 12:12:00,1.65,15402.0,United Kingdom
499972,84985B,SET OF 72 BLACK PAPER DOILIES ,1,2010-03-03 14:31:00,1.45,13680.0,United Kingdom
506285,21651,HANGING GLASS ETCHED TEALIGHT,6,2010-04-28 16:49:00,1.65,16767.0,United Kingdom
493436,20869,GOLD FABRIC MIRROR,240,2010-01-04 13:03:00,0.38,13694.0,United Kingdom
494870,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2010-01-19 12:15:00,0.85,15998.0,United Kingdom
522739,22210,WOOD STAMP SET BEST WISHES,1,2010-09-16 13:06:00,1.65,14963.0,United Kingdom
519580,21770,OPEN CLOSED METAL SIGN,1,2010-08-18 13:11:00,4.95,16675.0,United Kingdom
518547,21426,WOODLAND STORAGE BOX SMALL,96,2010-08-09 18:30:00,1.25,18102.0,United Kingdom
504183,85099B,RED RETROSPOT JUMBO BAG ,10,2010-04-12 09:13:00,1.95,13418.0,United Kingdom
525714,21929,JUMBO BAG PINK VINTAGE PAISLEY,100,2010-10-06 14:24:00,1.65,13629.0,United Kingdom
516157,22382,LUNCH BAG SPACEBOY DESIGN ,2,2010-07-18 11:49:00,1.65,17261.0,United Kingdom
516158,21825,PAINTED METAL TREE WITH HOLLY BELLS,24,2010-07-18 11:49:00,1.45,16950.0,United Kingdom
536030,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,2010-11-29 16:41:00,2.95,15828.0,United Kingdom
502613,22082,RIBBON REEL STRIPES DESIGN ,5,2010-03-25 14:22:00,1.65,14535.0,United Kingdom
521973,20754,RETRO RED SPOTTY WASHING UP GLOVES,1,2010-09-09 19:46:00,2.1,17366.0,United Kingdom
537136,21351,CINAMMON & ORANGE WREATH,18,2010-12-05 12:42:00,5.95,12748.0,United Kingdom
493716,21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,6,2010-01-05 16:50:00,2.95,17364.0,United Kingdom
534232,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-11-22 10:03:00,1.69,17782.0,United Kingdom
525317,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,3,2010-10-05 11:17:00,3.75,15311.0,United Kingdom
511300,22425,ENAMEL COLANDER CREAM,1,2010-06-07 15:31:00,4.95,16788.0,United Kingdom
C524398,85141,JARDIN ETCHED GLASS FRUITBOWL,-1,2010-09-28 18:37:00,10.75,13980.0,United Kingdom
489514,21955,UNION JACK GUNS & ROSES  DOORMAT,10,2009-12-01 11:21:00,5.95,15311.0,United Kingdom
489830,21154,RED SPOTTY OVEN GLOVE ,2,2009-12-02 13:57:00,1.25,13623.0,United Kingdom
496222,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,2010-01-29 13:53:00,1.25,13583.0,United Kingdom
505708,20979,36 PENCILS TUBE RED SPOTTY,1,2010-04-25 12:15:00,1.25,13782.0,United Kingdom
500220,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2010-03-05 11:16:00,0.55,14896.0,United Kingdom
521901,21989,PACK OF 20 SKULL PAPER NAPKINS,3,2010-09-09 12:37:00,0.85,14688.0,United Kingdom
513625,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,12,2010-06-27 13:09:00,0.65,14505.0,United Kingdom
512400,22605,WOODEN CROQUET GARDEN SET,1,2010-06-15 12:35:00,12.75,13297.0,United Kingdom
507129,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-05-06 12:15:00,0.95,15860.0,United Kingdom
