bulan,penjualan,biaya_operasional,profit,jumlah_pelanggan,kategori
Januari,15000000,8500000,6500000,120,Retail
Februari,17500000,9000000,8500000,135,Retail
Maret,16200000,8700000,7500000,128,Retail
April,19800000,9500000,10300000,152,Online
Mei,21000000,10000000,11000000,168,Online
Juni,18500000,9200000,9300000,145,Retail
Juli,22300000,10500000,11800000,175,Online
Agustus,24500000,11000000,13500000,192,Online
September,20100000,9800000,10300000,160,Retail
Oktober,23800000,10800000,13000000,185,Online
November,26000000,11500000,14500000,205,Online
Desember,28500000,12000000,16500000,225,Online
